BOROUGH,NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE,YEAR,Precint,Police Stations,Crime Rates,Grocery Stores
MANHATTAN,SOHO,02  TWO FAMILY HOMES,2,3450000,4975000,4975000,6500000,2012,,,,
MANHATTAN,TRIBECA,01  ONE FAMILY HOMES,1,10500000,10500000,10500000,10500000,2012,,,,
MANHATTAN,GRAMERCY,01 ONE FAMILY HOMES,1,5750000,5750000,5750000,5750000,2013,,,,
MANHATTAN,ALPHABET CITY,02 TWO FAMILY HOMES,1,1560000,1560000,1560000,1560000,2013,,,,
MANHATTAN,ALPHABET CITY,03 THREE FAMILY HOMES,1,3150000,3150000,3150000,3150000,2013,,,,
MANHATTAN,CHELSEA,01 ONE FAMILY HOMES,8,2500000,7201875,6890000,15500000,2013,,,,
MANHATTAN,CHELSEA,02 TWO FAMILY HOMES,2,5500000,6245000,6245000,6990000,2013,,,,
MANHATTAN,CHELSEA,03 THREE FAMILY HOMES,2,4250000,5058500,5058500,5867000,2013,,,,
MANHATTAN,CHINATOWN,02 TWO FAMILY HOMES,2,2800000,4602500,4602500,6405000,2013,,,,
MANHATTAN,CLINTON,03 THREE FAMILY HOMES,1,4165000,4165000,4165000,4165000,2013,,,,
MANHATTAN,EAST VILLAGE,01 ONE FAMILY HOMES,1,5250000,5250000,5250000,5250000,2013,,,,
MANHATTAN,EAST VILLAGE,02 TWO FAMILY HOMES,1,241307,241307,241307,241307,2013,,,,
MANHATTAN,EAST VILLAGE,03 THREE FAMILY HOMES,1,4650000,4650000,4650000,4650000,2013,,,,
MANHATTAN,GRAMERCY,03 THREE FAMILY HOMES,1,5912819,5912819,5912819,5912819,2013,,,,
MANHATTAN,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY HOMES,3,5800000,10663333,10250000,15940000,2013,,,,
MANHATTAN,GREENWICH VILLAGE-CENTRAL,02 TWO FAMILY HOMES,3,3800000,8116667,10050000,10500000,2013,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,01 ONE FAMILY HOMES,13,3250000,7861538,6150000,23500000,2013,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,02 TWO FAMILY HOMES,9,3500000,6244444,6200000,12500000,2013,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,03 THREE FAMILY HOMES,4,4800000,7500000,5975000,13250000,2013,,,,
MANHATTAN,KIPS BAY,02 TWO FAMILY HOMES,1,4150000,4150000,4150000,4150000,2013,,,,
MANHATTAN,LOWER EAST SIDE,02 TWO FAMILY HOMES,2,1068000,2234000,2234000,3400000,2013,,,,
MANHATTAN,MIDTOWN EAST,01 ONE FAMILY HOMES,7,999900,8433914,4487500,34350000,2013,,,,
MANHATTAN,MIDTOWN EAST,02 TWO FAMILY HOMES,3,3300000,5391667,4875000,8000000,2013,,,,
MANHATTAN,MIDTOWN EAST,03 THREE FAMILY HOMES,2,4100000,4249500,4249500,4399000,2013,,,,
MANHATTAN,MURRAY HILL,01 ONE FAMILY HOMES,1,5200000,5200000,5200000,5200000,2013,,,,
MANHATTAN,MURRAY HILL,02 TWO FAMILY HOMES,4,3700000,5675000,4000000,11000000,2013,,,,
MANHATTAN,SOHO,01 ONE FAMILY HOMES,1,4200000,4200000,4200000,4200000,2013,,,,
MANHATTAN,SOHO,02 TWO FAMILY HOMES,1,7200000,7200000,7200000,7200000,2013,,,,
MANHATTAN,TRIBECA,01 ONE FAMILY HOMES,3,4250000,9166667,5750000,17500000,2013,,,,
MANHATTAN,ALPHABET CITY,03 THREE FAMILY HOMES,1,2900000,2900000,2900000,2900000,2014,,,,
MANHATTAN,CHELSEA,01 ONE FAMILY HOMES,2,4000000,4650000,4650000,5300000,2014,,,,
MANHATTAN,CHELSEA,02 TWO FAMILY HOMES,2,6200000,7775000,7775000,9350000,2014,,,,
MANHATTAN,CHELSEA,03 THREE FAMILY HOMES,2,332500,4416250,4416250,8500000,2014,,,,
MANHATTAN,CLINTON,03 THREE FAMILY HOMES,1,7950000,7950000,7950000,7950000,2014,,,,
MANHATTAN,EAST VILLAGE,01 ONE FAMILY HOMES,1,6400000,6400000,6400000,6400000,2014,,,,
MANHATTAN,EAST VILLAGE,02 TWO FAMILY HOMES,1,7606000,7606000,7606000,7606000,2014,,,,
MANHATTAN,GRAMERCY,01 ONE FAMILY HOMES,1,3550000,3550000,3550000,3550000,2014,,,,
MANHATTAN,GRAMERCY,03 THREE FAMILY HOMES,1,4100000,4100000,4100000,4100000,2014,,,,
MANHATTAN,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY HOMES,4,4975000,12537750,8588000,28000000,2014,,,,
MANHATTAN,GREENWICH VILLAGE-CENTRAL,02 TWO FAMILY HOMES,2,1250000,1375000,1375000,1500000,2014,,,,
MANHATTAN,GREENWICH VILLAGE-CENTRAL,03 THREE FAMILY HOMES,1,9725000,9725000,9725000,9725000,2014,,,,
